Account,Expected Sign,Accounts.Account Title,AccountControl.Account Title,Classification,Narration,,,,,,,,,,
005/966,Cr,Killed for Own Use,Deer Sales,Income,Other Animal,,,,,,,,,,
005/967,Cr,Killed for Own Use,Deer Sales,Income,Other Animal,,,,,,,,,,
005/968,Cr,Killed for Own Use,Deer Sales,Income,Other Animal,,,,,,,,,,
005/969,Cr,Killed for Own Use,Deer Sales,Income,Other Animal,,,,,,,,,,
005/970,Cr,Killed for Own Use,Deer Sales,Income,Other Animal,,,,,,,,,,
005/971,Cr,Killed for Own Use,Deer Sales,Income,Other Animal,,,,,,,,,,
005/972,Cr,Killed for Own Use,Deer Sales,Income,Other Animal,,,,,,,,,,
005/973,Cr,Killed for Own Use,Deer Sales,Income,Other Animal,,,,,,,,,,
006/000,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/002,Cr,Breeding Sows (under 1 year),Pig Sales,Income,Other Animal,,,,,,,,,,
006/004,Cr,Breeding Sows (over 1 year),Pig Sales,Income,Other Animal,,,,,,,,,,
006/006,Cr,Weaners (under 10 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/008,Cr,Gowing Pigs (10-17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/010,Cr,Growing Pigs (over 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/012,Cr,Breeding Boars,Pig Sales,Income,Other Animal,,,,,,,,,,
006/098,Cr,Holding Gains,Pig Sales,Income,Other Animal,,,,,,,,,,
006/099,Cr,Pig Revaluation,Pig Sales,Income,Other Animal,,,,,,,,,,
006/100,Cr,National Standard Cost,Pig Sales,Income,Other Animal,,,,,,,,,,
006/102,Cr,Breeding Sows (under 1 year),Pig Sales,Income,Other Animal,,,,,,,,,,
006/104,Cr,Breeding Sows (over 1 year),Pig Sales,Income,Other Animal,,,,,,,,,,
006/106,Cr,Weaners (under 10 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/108,Cr,Growing Pigs (10 - 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/110,Cr,Growing Pigs (over 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/112,Cr,Breeding Boars,Pig Sales,Income,Other Animal,,,,,,,,,,
006/200,Cr,Market Value,Pig Sales,Income,Other Animal,,,,,,,,,,
006/202,Cr,Breeding Sows (under 1 year),Pig Sales,Income,Other Animal,,,,,,,,,,
006/204,Cr,Breeding Sows (over 1 year),Pig Sales,Income,Other Animal,,,,,,,,,,
006/206,Cr,Weaners (under 10 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/208,Cr,Growing Pigs (10 - 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/210,Cr,Growing Pigs (over 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/212,Cr,Breeding Boars,Pig Sales,Income,Other Animal,,,,,,,,,,
006/300,Cr,High Priced,Pig Sales,Income,Other Animal,,,,,,,,,,
006/302,Cr,Breeding Sows (under 1 year),Pig Sales,Income,Other Animal,,,,,,,,,,
006/306,Cr,Weaners (under 10 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/308,Cr,Growing Pigs (10 - 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/310,Cr,Growing Pigs (over 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/312,Cr,Breeding Boars,Pig Sales,Income,Other Animal,,,,,,,,,,
006/400,Cr,Bailed,Pig Sales,Income,Other Animal,,,,,,,,,,
006/402,Cr,Breeding Sows (under 1 year),Pig Sales,Income,Other Animal,,,,,,,,,,
006/406,Cr,Weaners (under 10 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/408,Cr,Growing Pigs (10 - 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/410,Cr,Growing Pigs (over 17 weeks),Pig Sales,Income,Other Animal,,,,,,,,,,
006/412,Cr,Breeding Boars,Pig Sales,Income,Other Animal,,,,,,,,,,
006/800,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/802,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/804,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/806,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/808,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/810,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/812,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/822,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/824,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/826,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/828,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/830,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/832,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/833,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/834,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/835,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/836,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/837,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/838,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/840,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/841,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/842,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/843,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/844,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/845,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/846,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/847,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/848,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/849,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/850,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/851,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/852,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/854,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/855,Cr,Deaths and Missing,Pig Sales,Income,Other Animal,,,,,,,,,,
006/900,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/902,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/904,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/906,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/908,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/910,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/912,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/922,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/924,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/926,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/928,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/930,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/932,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/933,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/934,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/935,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/936,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/937,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/938,Cr,Pig Sales,Pig Sales,Income,Other Animal,,,,,,,,,,
006/940,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/941,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/942,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/943,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/944,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/945,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/946,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/948,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/949,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/950,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/951,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/952,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/953,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/954,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
006/955,Cr,Killed for Own Use,Pig Sales,Income,Other Animal,,,,,,,,,,
007/000,Cr,Goat Sales,Goat Sales,Income,Other Animal,,,,,,,,,,
007/002,Cr,Doe Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/004,Cr,R1yr Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/008,Cr,MA Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/012,Cr,Wether/Buck Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/014,Cr,R1yr Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/016,Cr,MA Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/020,Cr,Breeding Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/098,Cr,Holding Gains,Goat Sales,Income,Other Animal,,,,,,,,,,
007/099,Cr,Goat Revaluation,Goat Sales,Income,Other Animal,,,,,,,,,,
007/100,Cr,National Standard Cost,Goat Sales,Income,Other Animal,,,,,,,,,,
007/102,Cr,Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/104,Cr,R1yr Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/108,Cr,MA Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/112,Cr,Wether/Buck Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/114,Cr,R1yr Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/116,Cr,MA Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/120,Cr,Breeding Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/200,Cr,Market Value,Goat Sales,Income,Other Animal,,,,,,,,,,
007/202,Cr,Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/204,Cr,R1yr Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/208,Cr,MA Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/212,Cr,Wether/Buck Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/214,Cr,R1yr Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/216,Cr,MA Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/220,Cr,Breeding Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/300,Cr,High Priced,Goat Sales,Income,Other Animal,,,,,,,,,,
007/302,Cr,Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/304,Cr,R1yr Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/308,Cr,MA Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/312,Cr,Wether/Buck Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/314,Cr,R1yr Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/316,Cr,MA Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/320,Cr,Breeding Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/400,Cr,Bailed,Goat Sales,Income,Other Animal,,,,,,,,,,
007/402,Cr,Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/404,Cr,R1yr Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/408,Cr,MA Does,Goat Sales,Income,Other Animal,,,,,,,,,,
007/412,Cr,Wether/Buck Kids,Goat Sales,Income,Other Animal,,,,,,,,,,
007/414,Cr,R1yr Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/416,Cr,MA Wethers/Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/420,Cr,Breeding Bucks,Goat Sales,Income,Other Animal,,,,,,,,,,
007/800,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/802,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/804,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/808,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/812,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/814,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/816,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/820,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/822,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/824,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/828,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/832,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/834,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/836,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/840,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/841,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/842,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/843,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/844,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/845,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/846,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/847,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/848,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/849,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/850,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/851,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/852,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/853,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/854,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/855,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/856,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/857,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/858,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/859,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/860,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/861,Cr,Deaths and Missing,Goat Sales,Income,Other Animal,,,,,,,,,,
007/900,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/902,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/903,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/904,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/908,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/912,Cr,Goat Sales,Goat Sales,Income,Other Animal,,,,,,,,,,
007/914,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/916,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/920,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/922,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/924,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/928,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/932,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/934,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/936,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/940,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/941,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/942,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/943,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/944,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/945,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/946,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/947,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/948,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/949,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/950,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/951,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/952,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/953,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/954,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/955,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/956,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/957,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/958,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/959,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/960,Cr,Killed for Own Use,Goat Sales,Income,Other Animal,,,,,,,,,,
007/961,Cr,Goat Sales,Goat Sales,Income,Other Animal,,,,,,,,,,
8,Cr,Breeding Horses Sales,Breeding Horses Sales,Income,Other Animal,,,,,,,,,,
9,Cr,Racing Horses Sales,Racing Horses Sales,Income,Other Animal,,,,,,,,,,
10,Cr,Spare Livestock Sales,Spare Livestock Sales,Income,Other Animal,,,,,,,,,,
012/000,Dr,Sheep Purchases,Sheep Purchases,Unknown,Unknown,,,,,,,,,,
012/002,Dr,Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/004,Dr,Ewe Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/006,Dr,Two Tooths,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/008,Dr,MA Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/010,Dr,R5yr and Older Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/012,Dr,Ram and Wether Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/014,Dr,Ram and Wether Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/016,Dr,MA Wethers,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/020,Dr,Breeding Rams,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/100,Dr,National standard cost,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/102,Dr,Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/104,Dr,Ewe Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/106,Dr,Two Tooths,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/108,Dr,MA Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/110,Dr,R5yr and Older Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/112,Dr,Ram and Wether Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/114,Dr,Ram and Wether Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/116,Dr,MA Wethers,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/120,Dr,Breeding Rams,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/200,Dr,Market Value,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/202,Dr,Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/204,Dr,Ewe Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/206,Dr,Two Tooths,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/208,Dr,MA Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/210,Dr,R5yr and Older Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/212,Dr,Ram and Wether Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/214,Dr,Ram and Wether Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/216,Dr,MA Wethers,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/220,Dr,Breeding Rams,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/300,Dr,High Priced,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/302,Dr,Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/304,Dr,Ewe Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/306,Dr,Two Tooths,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/308,Dr,MA Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/310,Dr,R5yr and Older Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/312,Dr,Ram and Wether Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/314,Dr,Ram and Wether Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/316,Dr,MA Wethers,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/320,Dr,Breeding Rams,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/400,Dr,Bailed,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/402,Dr,Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/404,Dr,Ewe Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/406,Dr,Two Tooths,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/408,Dr,MA Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/410,Dr,R5yr and Older Ewes,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/412,Dr,Ram and Wether Lambs,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/414,Dr,Ram and Wether Hoggets,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/416,Dr,MA Wethers,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/420,Dr,Breeding Rams,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/800,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/802,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/804,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/806,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/808,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/810,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/812,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/814,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/816,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/818,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/820,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/822,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/824,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/826,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/828,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/830,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/832,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/834,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/835,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/836,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/838,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/840,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/841,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/842,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/843,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/844,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/846,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/847,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/848,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/849,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/853,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/854,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/855,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/856,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/857,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/859,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
012/861,Dr,Natural Increase,Sheep Purchases,Income,Sheep Sales,,,,,,,,,,
